token,Mean_Abs_SHAP,Mean_SHAP,Frequency
channel,8.463422223576345e-05,-8.461433910997584e-05,2
kasih,8.430980169214309e-05,8.430980169214309e-05,3
percaya,8.410358614517983e-05,8.29314428813502e-05,6
player,8.195172909108806e-05,8.195172909108806e-05,1
santai,8.113579519704217e-05,8.113579519704217e-05,3
salam,7.949998163530836e-05,7.949998163530836e-05,6
dukung,7.936835064174375e-05,7.936835064174375e-05,1
favorit,7.920530086994404e-05,-1.3883850020647515e-05,3
daftar,7.910529883520212e-05,7.910529883520212e-05,2
chin,7.88969230998191e-05,-7.88969230998191e-05,1
kayaknya,7.802109347539954e-05,-7.802109347539954e-05,2
nonton,7.79386904760031e-05,-6.771566698444075e-05,8
angkat,7.7762886419805e-05,7.7762886419805e-05,1
gua,7.756281260662945e-05,7.747009096783586e-05,5
silih,7.74015732240514e-05,7.74015732240514e-05,1
mengecewakan,7.705674177850597e-05,7.705674177850597e-05,2
ax,7.684845745825442e-05,7.684845745825442e-05,3
cashback,7.683219330647262e-05,7.683219330647262e-05,4
teroris,7.558632049767766e-05,-7.558632049767766e-05,1
putar,7.540072995470836e-05,7.540072995470836e-05,1
akhir,7.32584066936397e-05,-2.8386210855387616e-05,6
hiburan,7.3054772845353e-05,7.3054772845353e-05,2
pokoknya,7.265639852266759e-05,-7.001739036059007e-05,2
hidup,7.23460429957273e-05,6.469729538492595e-05,6
nyambung,7.104323705425486e-05,7.104323705425486e-05,1
cuma,7.101980639033151e-05,6.675774118723915e-05,9
liter,7.098431541089667e-05,7.098431541089667e-05,5
kedepan,7.051197109103669e-05,-7.051197109103669e-05,1
lanjut,7.027948028553511e-05,7.027948028553511e-05,2
setidaknya,6.910301242533023e-05,6.910301242533023e-05,1
keuntungan,6.862484710654826e-05,6.862484710654826e-05,2
cerah,6.861747503717198e-05,6.861747503717198e-05,1
kebanggaan,6.849510502433987e-05,6.849510502433987e-05,1
tahu,6.80642123825237e-05,6.727678256538638e-05,4
lapak,6.791908828017768e-05,-6.791908828017768e-05,1
all,6.643348027864705e-05,2.9963738510559778e-05,6
war,6.60312858672114e-05,6.60312858672114e-05,1
pekan,6.563187645224389e-05,-6.563187645224389e-05,1
coba,6.499882444465281e-05,3.206918353619888e-05,22
pl,6.460756058731931e-05,6.406350402903627e-05,4
quick,6.424270723073277e-05,6.424270723073277e-05,3
sponsor,6.404584850679384e-05,6.404584850679384e-05,1
apa,6.401458707615737e-05,-2.0947422764506228e-05,18
keluarga,6.386337885487592e-05,6.386337885487592e-05,2
rasa,6.385119770250943e-05,6.385119770250943e-05,3
ca,6.37831518179155e-05,6.37831518179155e-05,1
bu,6.367692962521687e-05,6.367692962521687e-05,1
buka,6.358059550257166e-05,6.358059550257166e-05,1
cita,6.323578277078923e-05,6.323578277078923e-05,1
tentang,6.321247515370488e-05,6.321247515370488e-05,6
bersama,6.306430149561492e-05,6.306430149561492e-05,2
setelah,6.279815931338817e-05,6.279815931338817e-05,8
berganti,6.218473849730798e-05,6.218473849730798e-05,1
att,6.174058916561383e-05,6.174058916561383e-05,4
tt,6.04583414424269e-05,6.0064629036787664e-05,3
gue,6.009467514741118e-05,5.9921069736446955e-05,7
ngakak,5.932507526449626e-05,2.2073476349760313e-05,6
saya,5.770292219252345e-05,5.562888025027254e-05,5
kesempatan,5.686248507117853e-05,5.686248507117853e-05,1
dugaan,5.6476076315448155e-05,5.6476076315448155e-05,1
kita,5.608583620349756e-05,-4.98086701615778e-05,10
kak,5.590884340199409e-05,5.590884340199409e-05,7
sekali,5.569273297442123e-05,5.569273297442123e-05,5
kaya,5.526710286676462e-05,1.8630755944741394e-05,7
pengen,5.505401338814409e-05,5.505401338814409e-05,6
minuman,5.459288782731164e-05,5.459288782731164e-05,1
makanan,5.4083177714346674e-05,5.4083177714346674e-05,6
ru,5.394552637517336e-05,5.394552637517336e-05,3
kamera,5.3182020048552655e-05,-5.3182020048552655e-05,3
awan,5.3181004272119027e-05,5.3181004272119027e-05,2
aja,5.3161369129624546e-05,4.764420670854012e-05,23
dong,5.288519076202647e-05,-5.2540008971845966e-05,8
aroma,5.267654439376201e-05,5.267654439376201e-05,1
ih,5.197604484783369e-05,5.197604484783369e-05,3
kamu,5.189716724453319e-05,5.189716724453319e-05,4
la,5.186680072256422e-05,5.186680072256422e-05,2
deposit,5.1565478293923664e-05,5.1565478293923664e-05,3
temu,5.129365496395622e-05,5.129365496395622e-05,1
ek,5.0308303820202124e-05,4.2081355044501834e-05,5
mengunjungi,4.929725945839891e-05,-4.929725945839891e-05,1
ong,4.8627142612531316e-05,4.850598243501736e-05,3
os,4.855260296244524e-05,4.855260296244524e-05,1
kecewa,4.8529272069572474e-05,-4.8529272069572474e-05,1
ketika,4.8284914145673005e-05,4.8284914145673005e-05,3
mimpi,4.75159874840756e-05,4.75159874840756e-05,2
dia,4.7229893846330615e-05,-2.6962938654226794e-05,5
tepat,4.708848398201532e-05,-4.573147911805572e-06,5
ngej,4.5827839039702666e-05,4.5827839039702666e-05,4
sekarang,4.568343687569722e-05,4.553157691261731e-05,6
konten,4.54504924309731e-05,4.54504924309731e-05,9
gw,4.528150216610812e-05,-2.9053820800254473e-05,12
kalau,4.5081610082497505e-05,2.6560279929463137e-05,8
na,4.507296064912225e-05,1.978451381364721e-05,4
tanpa,4.4885176435855104e-05,4.4885176435855104e-05,3
hitungan,4.4521518575493246e-05,-2.8636467264732347e-05,3
kurang,4.450766088440005e-05,4.0464083620016846e-05,11
nge,4.398733338166494e-05,-3.199834820406977e-05,8
merasa,4.371647813240997e-05,4.078980880149174e-05,8
semuanya,4.284157601796323e-05,4.284157601796323e-05,1
keseruan,4.2788172482687513e-05,-4.2788172482687513e-05,1
as,4.247205256979214e-05,3.8801429771410764e-05,2
ti,4.1992438771558224e-05,2.3205856672575464e-05,5
detail,4.198548857506114e-05,4.198548857506114e-05,4
mengalami,4.100213316269219e-05,4.100213316269219e-05,2
taj,4.086068821197841e-05,4.086068821197841e-05,2
pas,4.0699799249978244e-05,4.0673576706922175e-05,5
wkwk,4.0697852891753425e-05,3.8542696434888055e-05,4
puncak,4.0583439331385305e-05,4.0583439331385305e-05,1
bo,4.045813512090696e-05,4.0458135119870565e-05,4
kualitas,4.033002964634387e-05,4.033002964634387e-05,2
lgi,3.9729642288875763e-05,3.9729642288875763e-05,1
recommended,3.966386339743622e-05,3.966386339743622e-05,1
diikuti,3.9612410342670046e-05,-3.9612410342670046e-05,1
ke,3.957751287211844e-05,3.305966700283098e-05,20
rasakan,3.937484449852491e-05,3.937484449852491e-05,1
cu,3.7838578493531655e-05,3.7835402930656586e-05,7
ik,3.7732988421339545e-05,3.54552607605001e-05,4
rela,3.764615466207033e-05,-3.764615466207033e-05,2
saat,3.762068200012436e-05,3.762068200012436e-05,4
milyaran,3.731922642327845e-05,-5.222045743721537e-06,3
detik,3.713351407350274e-05,3.713351407350274e-05,2
